Files already downloaded and verified
Image shape: torch.Size([3, 32, 32])
Epoch 0, Loss: 0.2478711265730858
Epoch 5, Loss: 0.038088375266194345
Epoch 10, Loss: 0.03235736069798469
Epoch 15, Loss: 0.029699481992721558
Epoch 20, Loss: 0.02815102661013603
Epoch 25, Loss: 0.02692545071899891
Epoch 30, Loss: 0.026484246190190314
Epoch 35, Loss: 0.026059821144342424
Epoch 40, Loss: 0.025499426743984224
Epoch 45, Loss: 0.024943829640746117
Epoch 50, Loss: 0.024507216517925264
Epoch 55, Loss: 0.02438829230070114
Epoch 60, Loss: 0.02379740720629692
Epoch 65, Loss: 0.02362168118298054
Epoch 70, Loss: 0.023257833000421523
Epoch 75, Loss: 0.023134232619404792
Epoch 80, Loss: 0.022693593378067017
Epoch 85, Loss: 0.022018261857628823
Epoch 90, Loss: 0.021521024503707884
Epoch 95, Loss: 0.02112434031844139
Epoch 100, Loss: 0.020478416036367415
Epoch 105, Loss: 0.020012132109999657
Epoch 110, Loss: 0.019802212234139444
Epoch 115, Loss: 0.019645282393097877
Epoch 120, Loss: 0.019339835152626036
Epoch 125, Loss: 0.01888842672109604
Epoch 130, Loss: 0.018640411968827247
Epoch 135, Loss: 0.018349721301198007
Epoch 140, Loss: 0.017909182918071746
Epoch 145, Loss: 0.017432104595899583
Epoch 150, Loss: 0.01695838316977024
Epoch 155, Loss: 0.01654973861217499
Epoch 160, Loss: 0.016065251463651658
Epoch 165, Loss: 0.015750753822922705
Epoch 170, Loss: 0.015604973918795586
Epoch 175, Loss: 0.015155960046350956
Epoch 180, Loss: 0.014993628163039684
Epoch 185, Loss: 0.014864231328964233
Epoch 190, Loss: 0.01463590950280428
Epoch 195, Loss: 0.014467792428135872
Epoch 200, Loss: 0.014287621986865997
Epoch 205, Loss: 0.014114213615059852
Epoch 210, Loss: 0.014050583876371384
Epoch 215, Loss: 0.013763215734064579
Epoch 220, Loss: 0.013689120912849902
Epoch 225, Loss: 0.013664938730597495
Epoch 230, Loss: 0.013381399165093899
Epoch 235, Loss: 0.013372714615166188
Epoch 240, Loss: 0.013408064016103744
Epoch 245, Loss: 0.013166840693056583
Epoch 250, Loss: 0.013090876513421536
Epoch 255, Loss: 0.012904236270785331
Epoch 260, Loss: 0.012925679111480712
Epoch 265, Loss: 0.01274679490685463
Epoch 270, Loss: 0.012812138636410236
Epoch 275, Loss: 0.012634062243103981
Epoch 280, Loss: 0.012718846019506454
Epoch 285, Loss: 0.012694625072777271
Epoch 290, Loss: 0.012565036639869213
Epoch 295, Loss: 0.012461892785429954
Epoch 300, Loss: 0.012425477479398251
Epoch 305, Loss: 0.012554994511306285
Epoch 310, Loss: 0.012633783750832081
